FID,FID_Fish4,Id,POINT_X,POINT_Y,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
35,960,0,-120.107045782000000,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,151,0.181579091757000,-134.164599270999986,Faults - BCOGC Pool boundary faults,1.4137400
36,961,0,-120.084587900000002,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,151,0.197882852138000,-138.834309869000009,Faults - BCOGC Pool boundary faults,1.4132900
37,962,0,-120.062130018000005,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,151,0.215297451713000,-142.771422484999988,Faults - BCOGC Pool boundary faults,1.4100900
38,963,0,-120.039672135999993,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,151,0.233574560249000,-146.106176871999992,Faults - BCOGC Pool boundary faults,1.4072100
39,964,0,-120.017214253999995,55.008017398000000,0,Montney Basin,26607264166.200000762939453,4,151,0.252526970072000,-148.948856632999991,Faults - BCOGC Pool boundary faults,1.3991600
40,1114,0,-120.331624603999998,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.148139744309000,-60.952947372600001,Faults - BCOGC Pool boundary faults,1.2861400
41,1115,0,-120.309166720999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.138633081312000,-69.094522408499998,Faults - BCOGC Pool boundary faults,1.2949600
42,1116,0,-120.286708838999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.132293580952000,-78.219169476100006,Faults - BCOGC Pool boundary faults,1.3210900
43,1117,0,-120.264250957000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.129586900669000,-87.986821579500003,Faults - BCOGC Pool boundary faults,1.3316801
44,1118,0,-120.241793075000004,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.130738865784000,-97.871787500799996,Faults - BCOGC Pool boundary faults,1.3436100
45,1119,0,-120.219335193000006,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.135651207753000,-107.310705318999993,Faults - BCOGC Pool boundary faults,1.3568600
46,1120,0,-120.196877310999994,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.143939439488000,-115.877141096000003,Faults - BCOGC Pool boundary faults,1.3712100
47,1121,0,-120.174419428999997,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.153989108998000,-116.755082924999996,Faults - BCOGC Pool boundary faults,1.3861099
48,1122,0,-120.151961546999999,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.164754607383000,-119.686104099999994,Faults - BCOGC Pool boundary faults,1.4066300
49,1123,0,-120.129503665000001,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.176955676333000,-126.016143639999996,Faults - BCOGC Pool boundary faults,1.4175600
50,1124,0,-120.107045782000000,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.191026843811000,-131.472747663000007,Faults - BCOGC Pool boundary faults,1.4242400
51,1125,0,-120.084587900000002,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.206586329808000,-136.144825394000009,Faults - BCOGC Pool boundary faults,1.4246900
52,1126,0,-120.062130018000005,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.223323266158000,-140.140048983000014,Faults - BCOGC Pool boundary faults,1.4210000
53,1127,0,-120.039672135999993,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.240992455667000,-143.564143672000000,Faults - BCOGC Pool boundary faults,1.4168200
54,1128,0,-120.017214253999995,55.020894067999997,0,Montney Basin,26607264166.200000762939453,4,151,0.259403467800000,-146.511529392999989,Faults - BCOGC Pool boundary faults,1.4135200
55,1276,0,-120.376540367999993,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.184184404105000,-50.626462109099997,Faults - BCOGC Pool boundary faults,1.2319800
56,1277,0,-120.354082485999996,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.170822177223000,-56.459463628800002,Faults - BCOGC Pool boundary faults,1.2596900
57,1278,0,-120.331624603999998,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.159515675355000,-63.198424104799997,Faults - BCOGC Pool boundary faults,1.2842500
58,1279,0,-120.309166720999997,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.150728225870000,-70.840816803699994,Faults - BCOGC Pool boundary faults,1.2933000
59,1280,0,-120.286708838999999,55.033766603200000,0,Montney Basin,26607264166.200000762939453,4,151,0.144918799336000,-79.258310825099997,Faults - BCOGC Pool boundary faults,1.3038200
