X,Y,Montney-TVD
55.94242439,-120.1908251,1967
55.96030793,-120.0425309,1750.1
55.96446277,-120.1033103,1787
55.97346132,-120.1082577,1792
55.92823145,-120.2601006,1954.9
55.90067683,-120.2633694,2063.8
55.90339039,-120.3212542,2095.5
55.9032133,-120.3212536,2092.4
55.91766431,-120.3507774,2089.4
55.93258655,-120.3530444,2056
55.92293614,-120.2246304,2006.8
55.96238661,-120.2169692,1838.5
55.90659854,-120.4031694,1964.8
55.91113589,-120.4419731,2020.8
55.92081512,-120.4054887,1991.9
55.92108118,-120.4054886,1989.3
55.91047521,-120.347648,2100.5
55.91681502,-120.3476534,2092.4
55.91694803,-120.3476523,2089
55.93616299,-120.3734806,1963.8
55.90164929,-120.5722549,2137
55.9115185,-120.5984808,2125
55.90540246,-120.5884285,2114.5
55.90056608,-120.6119435,2170
55.90635973,-120.6138434,2152
55.92034054,-120.6422097,2162
55.91922347,-120.5951888,2116
55.9228371,-120.6062821,2127.2
55.9409029,-120.5162751,2004.2
55.92883078,-120.6288847,2133.2
55.92868776,-120.6421717,2142
55.92501175,-120.6400626,2156.2
55.93076499,-120.6421319,2127.2
55.94067825,-120.5154759,2000.9
55.97132795,-120.5040065,1975
55.90708882,-120.7946279,2298.5
55.92466858,-120.7840714,2263.6
55.92429684,-120.7819941,2289.5
55.92751959,-120.7725234,2279.5
55.9198967,-120.7506429,2253.4
55.92518915,-120.6706191,2110.5
55.94123317,-120.7634664,2251.2
55.92735019,-120.7726484,2247.5
55.97254218,-120.678284,2028
55.91300335,-120.8977287,2398.7
55.91302323,-120.8976828,2396.4
55.91304309,-120.8976353,2395.2
55.91306298,-120.8975894,2392.6
55.91308284,-120.8975419,2390.9
55.91310273,-120.897496,2390.5
55.91312262,-120.8974502,2385.5
55.91314248,-120.8974027,2386
55.92477515,-120.8995851,2386.8
55.92483111,-120.8994412,2386.7
55.89968836,-120.8736432,2387
55.90759326,-120.912322,2400
55.89998883,-120.9318465,2413
55.91811452,-120.9578126,2400.3
55.91283541,-120.934214,2405.7
55.90890036,-120.902666,2403
55.90836249,-120.9026934,2403
55.90791354,-120.9027177,2395
55.91411163,-120.9044857,2376.9
55.91330933,-120.8980689,2400.3
55.91328945,-120.8981148,2402.2
55.91334908,-120.8979756,2398.6
55.91332919,-120.8980215,2397.5
55.91459343,-120.8953222,2395.3
55.9134286,-120.8977904,2392
55.91338883,-120.8978822,2390
55.91336897,-120.8979297,2400
55.91927425,-120.9174828,2404.2
55.91340872,-120.8978363,2391.4
55.92479322,-120.8995377,2382.3
55.92481215,-120.8994886,2382.1
55.92488708,-120.8992973,2382.3
55.92484915,-120.8993922,2377.5
55.92486811,-120.8993447,2384.1
55.92181922,-120.8452279,2283
55.92185252,-120.8452308,2282.7
55.9218849,-120.8452322,2281.1
55.92191818,-120.8452336,2277.7
55.92195058,-120.8452366,2276.3
55.92198296,-120.845238,2275.8
55.93908806,-120.9415721,2400
55.9391183,-120.9415529,2394
55.93905696,-120.941593,2400.5
55.93902585,-120.9416139,2406
55.93936454,-120.941391,2408.3
55.93917964,-120.9415128,2397.6
55.93914941,-120.9415321,2397
55.93927209,-120.9414519,2394
55.93924159,-120.9414551,2391.5
55.93920995,-120.941444,2397.2
55.93933343,-120.9414118,2388
55.93936454,-120.941391,2383.9
55.9393032,-120.941431,2387.7
55.94460895,-120.9160797,2382.1
55.94457877,-120.9161022,2387.4
55.94464005,-120.9160588,2381.1
55.94467026,-120.916038,2375.9
55.94470043,-120.9160156,2368.6
55.94261207,-120.9294611,2327
55.95291023,-120.8494451,2258.8
55.96260064,-120.8469368,2180.8
55.908766,-121.0361995,2567.1
55.9087405,-121.0362344,2567.7
55.90871412,-121.0362709,2572.3
55.90881881,-121.0361296,2562.2
55.90879241,-121.0361646,2657.3
55.90884521,-121.0360947,2560.3
55.90887072,-121.0360598,2556
55.90897541,-121.0359185,2548.5
55.90900182,-121.0358836,2543.4
55.92913254,-121.0996255,2440.6
55.92915994,-121.0995954,2436.8
55.92918821,-121.0995636,2432.5
55.9292165,-121.0995334,2421
55.90894993,-121.035955,2548.4
55.90892353,-121.0359899,2549.7
55.90889712,-121.0360249,2552.9
55.92924389,-121.0995032,2416
55.92927218,-121.099473,2417
55.90902822,-121.0358486,2539.4
55.91741014,-120.981042,2439.6
55.93718055,-121.0066215,2461.4
55.92934898,-121.10014,2444.5
55.92937635,-121.1001083,2426.9
55.92940464,-121.1000781,2438.8
55.92943293,-121.1000479,2418.8
55.92946032,-121.1000177,2415.8
55.9423316,-121.1092052,2505
55.94244842,-121.1090874,2505
55.94256611,-121.108968,2496.6
55.94744717,-121.0187544,2411.9
55.94742727,-121.0188019,2410.3
55.94750787,-121.0186168,2405.1
55.94748794,-121.0186627,2404.5
55.94746453,-121.0185485,2405.1
55.94756856,-121.0184792,2398.4
55.94754773,-121.0185251,2400
55.9475278,-121.0185709,2400
55.94762834,-121.01834,2389.8
55.9476084,-121.0183858,2393.1
55.9475885,-121.0184333,2398.6
55.96063254,-121.0385589,2378.4
55.96060134,-121.0385749,2388.2
55.96056927,-121.0385926,2375.9
55.96053807,-121.0386086,2380.4
55.96066374,-121.0385429,2369.2
55.96078939,-121.0384757,2364.1
55.96069492,-121.0385253,2350.2
55.96072701,-121.0385093,2366.6
55.94834934,-121.0157309,2397.2
55.94454857,-120.916123,2388.4
55.9604054,-120.9865354,2389.5
55.96133102,-121.0164524,2378
55.94764917,-121.0182941,2390.3
55.9607028,-121.0391898,2381.5
55.96079727,-121.0391402,2372.4
55.96076607,-121.0391562,2373.5
55.960734,-121.0391738,2381.7
55.96086054,-121.0391065,2370
55.96082847,-121.0391242,2371
55.96075821,-121.0384933,2366.5
55.96082148,-121.0384597,2366.6
55.9612904,-121.0375435,2370.2
55.97499549,-121.116271,2322
55.97496812,-121.1163028,2325.1
55.97502379,-121.1162408,2310.7
55.97017808,-121.0939133,2351.8
55.97510683,-121.116147,2311.3
55.97505116,-121.116209,2334.2
55.97507856,-121.1161788,2326
55.97513423,-121.1161168,2311.3
55.97652004,-121.0512709,2170
55.90493763,-121.2562138,2514.5
55.9276212,-121.1905192,2564.3
55.92767412,-121.1904511,2555
55.92764765,-121.1904844,2575.3
55.92772794,-121.190383,2542.8
55.92770149,-121.1904178,2551.3
55.94050897,-121.2291018,2492.7
55.94368311,-121.218324,2383.6
55.95912469,-121.1464264,2381.5
55.95629814,-121.13213,2431.7
55.95623824,-121.1320319,2425
55.95617921,-121.1319322,2440.2
55.95629416,-121.1319267,2419.4
55.96991058,-121.2086529,2172.9
55.97019817,-121.208654,2181.5
55.97005436,-121.2086526,2198.9
55.97071039,-121.2086528,2193.3
55.97085419,-121.2086541,2185.5
55.98209204,-121.2661623,2131
55.97107615,-121.2086535,2188.9
55.97570488,-121.247261,1952.1
55.97048394,-121.2086536,2190.6
55.97023143,-121.1587166,2390
55.97029536,-121.1586046,2391
55.9704223,-121.158379,2392.5
55.97051862,-121.1582094,2391
55.97035927,-121.158491,2389.5
56.0094901,-120.0113425,1717.6
56.0098242,-120.0271253,1739
56.02222167,-120.0219907,1750
56.03014621,-120.0220416,1739.8
56.0410951,-120.0023699,1700
56.04478142,-120.0046889,1690.2
56.05089697,-120.0032829,1712.7
56.04649177,-120.0127893,1693.5
56.01871577,-120.1684243,1856
56.01273591,-120.0466059,1752
56.01918712,-120.0478241,1727.8
56.01994598,-120.1043697,1751
56.01974683,-120.130719,1834.6
56.03692984,-120.1030152,1790.1
56.03243639,-120.0709175,1735
56.05699165,-120.1041513,1710.6
56.05563309,-120.1166455,1731.7
56.05577882,-120.1170732,1710.7
56.06708219,-120.1569422,1722.2
56.06482508,-120.1231769,1722.9
56.07071737,-120.1176673,1699.2
56.06574735,-120.1165167,1718.3
56.06713872,-120.1044233,1742.2
56.06572994,-120.0639949,1706.2
56.06272176,-120.0547806,1745.5
56.06238897,-120.0411773,1722.2
56.06775141,-120.048205,1697
55.98292029,-120.2955276,1850.6
56.00519523,-120.3132012,1805.6
56.01031111,-120.2643886,1797
56.00967084,-120.2294064,1780
56.00042212,-120.2170368,1794
56.00781138,-120.211724,1784
56.0172979,-120.2374971,1774.2
56.01873684,-120.2202157,1784.6
56.03269727,-120.2722845,1772.8
56.02632494,-120.3041903,1830
56.01944772,-120.3403987,1840.2
56.02148492,-120.3246313,1825.4
56.03594174,-120.2651628,1769
56.05326804,-120.2821834,1756.6
56.04899769,-120.3135746,1808.6
56.04807973,-120.3136882,1808.5
56.05522748,-120.3089889,1789.2
56.04871186,-120.3334969,1820.9
56.05349922,-120.3279348,1806.2
56.06069139,-120.3067942,1796.3
56.06710634,-120.314082,1803.9
56.06163064,-120.2892294,1765.2
56.07058862,-120.2987726,1793.8
56.05888536,-120.1939667,1745.2
55.99204747,-120.4615871,1982.7
56.00450897,-120.5134967,1947.6
56.00457044,-120.5133805,1946.2
56.00463191,-120.5132643,1946.4
56.00469428,-120.513148,1947.5
56.00475575,-120.5130317,1949.2
56.00481812,-120.5129154,1946.9
56.00872155,-120.5043718,1950.5
56.00150034,-120.4768167,2005.8
56.00105239,-120.4760102,2003
56.00881141,-120.5043708,1947.9
56.00899117,-120.5043704,1948
56.00890131,-120.5043714,1948.3
56.00461123,-120.4496124,1964.3
56.00460792,-120.4494522,1963.7
56.0046046,-120.449292,1962.3
56.0046046,-120.449292,1962.2
56.00193256,-120.430261,1898.3
56.00298685,-120.4055035,1881.2
56.00307671,-120.4055023,1881
56.0031666,-120.4055027,1879
56.0028071,-120.4055043,1882.6
56.00402779,-120.4496509,1960.4
56.01088369,-120.4086914,1874
56.00814023,-120.3873063,1828
56.02838936,-120.4203468,1861.5
56.01148734,-120.4370053,1927
56.01156792,-120.4369903,1928.4
56.01165748,-120.4369748,1926.6
56.01174614,-120.4369593,1926.8
56.01201485,-120.4369142,1927.2
56.0118357,-120.4369437,1929.2
56.01192529,-120.4369297,1929.8
56.02564832,-120.4654375,1908
56.01827976,-120.5046056,1927
56.02123184,-120.4972639,1921
56.03975002,-120.4908481,1844.6
56.03190904,-120.4745705,1885.1
56.0369587,-120.4751027,1875.8
56.03737301,-120.4553356,1907.3
56.03237251,-120.3527698,1861.4
56.05129447,-120.3545008,1834
56.05288431,-120.3878478,1845.7
56.05531678,-120.3813303,1837.9
56.05297015,-120.4434215,1846.2
56.05228236,-120.4579802,1880.8
56.04549466,-120.4923667,1823.4
56.05218823,-120.5112781,1828.2
56.00145609,-120.6320032,2015.7
56.00228436,-120.6324033,2014.7
56.00187494,-120.6315365,2008.1
56.00236002,-120.6323184,2014.6
56.0019515,-120.6314516,2014.7
56.00210373,-120.6312819,2016.9
55.99190272,-120.605431,2030
56.00243659,-120.6322335,2013
55.99189227,-120.6264962,2052.8
55.99743684,-120.624862,2029.7
56.0020861,-120.6751567,2064.5
56.00210878,-120.6753109,2065.8
56.00213239,-120.6754667,2066.6
56.00215507,-120.6756209,2068.4
56.00217868,-120.6757767,2069.5
56.00252397,-120.6737365,2061.1
56.00254758,-120.6738923,2061.9
56.00257026,-120.6740465,2061.5
56.00250129,-120.6735823,2060
56.00185376,-120.6736084,2061.8
56.00190006,-120.6739184,2062
56.00187738,-120.6737641,2062.3
55.99821062,-120.6403941,2047.6
56.00152231,-120.6332519,2007.3
56.00144575,-120.6333367,2016.5
56.00137008,-120.6334216,2015.9
56.00118946,-120.6323002,2017
56.00159798,-120.633167,2015.3
56.00126513,-120.6322154,2018.5
56.0011129,-120.6323851,2008.7
56.00103723,-120.6324699,2011.3
56.00167454,-120.6330822,2012.3
56.0018646,-120.63287,2010.7
56.00194117,-120.6327852,2007.1
56.0011129,-120.6323851,2007
56.01185258,-120.6380155,1983.2
56.0014139,-120.602759,1985.4
56.00141476,-120.601556,1985
56.00141495,-120.6017966,1988
56.00141448,-120.601957,1986.5
56.00534586,-120.6220506,1977.5
56.01181924,-120.6325289,1975.9
56.00141339,-120.6029179,1982.9
56.00141381,-120.6030782,1981.9
56.001414,-120.6021174,1981.7
56.00078512,-120.6029167,1985.1
56.00078464,-120.6030771,1979.4
56.00141334,-120.6032386,1975
55.99704057,-120.5170992,1978.7
55.99713046,-120.5170998,1979.3
55.99722033,-120.5170989,1977.4
55.99731022,-120.5170995,1978.2
55.99740008,-120.5170986,1977.9
55.99748998,-120.5170992,1977.1
55.99757984,-120.5170983,1957.6
56.00490645,-120.5137295,1950.5
56.00484498,-120.5138457,1951
56.0047835,-120.5139619,1950
56.00515412,-120.5132644,1950
56.00509265,-120.5133806,1950
56.00503029,-120.5134969,1951
56.00496882,-120.5136132,1950
56.02012228,-120.5590637,1957.2
56.01940328,-120.5590658,1953.5
56.00926082,-120.5043707,1953.5
56.00917092,-120.5043701,1947.5
56.00908106,-120.504371,1926.4
56.02039104,-120.5590644,1956.2
56.02025623,-120.5590649,1956.4
56.00943968,-120.5043704,1932.9
56.00935071,-120.5043713,1948.7
56.02027362,-120.5528694,1959.7
56.02040843,-120.5528689,1957.9
56.0152257,-120.4962324,1964.8
56.01531559,-120.496233,1963.9
56.01540546,-120.496232,1963.9
56.01558434,-120.4962333,1964.3
56.00521649,-120.5131481,1950
56.01549445,-120.4962327,1963.7
56.01567421,-120.4962323,1963.3
56.0157641,-120.4962329,1961.7
56.01953809,-120.5590653,1952
56.01926844,-120.5590647,1952
56.0196729,-120.5590648,1951.4
56.01980771,-120.5590643,1952
56.02013878,-120.5528683,1959.3
56.02112578,-120.5545503,1958
56.02647145,-120.5615199,1934
56.02430245,-120.6077584,1967
56.02416764,-120.6077587,1967
56.02403282,-120.607759,1967
56.02484083,-120.6077588,1966
56.02470691,-120.607759,1966
56.0245721,-120.6077594,1967
56.02443729,-120.6077597,1965.9
56.02497564,-120.6077585,1965
56.02403359,-120.6084009,1962.7
56.02054324,-120.5528684,1955.8
56.01762597,-120.663942,2015.3
56.02467324,-120.618044,1965
56.02707225,-120.6328005,1975.1
56.02416751,-120.6084007,1965.6
56.02430232,-120.6084004,1965.5
56.01758172,-120.6401914,1985.4
56.02946452,-120.6547052,1946.6
56.03450751,-120.6650297,1925.7
56.0343727,-120.6650298,1925.5
56.03464232,-120.6650296,1924.6
56.03423788,-120.6650299,1930.2
56.03477714,-120.6650294,1922.2
56.03491195,-120.6650293,1963
56.03518068,-120.6650291,1919.3
56.03504587,-120.6650293,1920.7
56.03245036,-120.6084293,1946.8
56.03254022,-120.6084285,1946
56.03263012,-120.6084294,1946
56.02443713,-120.6084001,1964.5
56.02457194,-120.6083997,1964.4
56.02470678,-120.608401,1963.1
56.0248416,-120.6084007,1962.3
56.02497641,-120.6084004,1962.4
56.02771933,-120.5481671,1936.2
56.02780833,-120.5481679,1936.9
56.02789819,-120.548167,1935.8
56.02798809,-120.5481677,1934.7
56.02807795,-120.5481669,1935.1
56.02816784,-120.5481676,1934.7
56.02825771,-120.5481667,1934.7
56.0283476,-120.5481674,1933.7
56.04267092,-120.5685552,1919.4
56.05288809,-120.5302674,1869.9
56.05461638,-120.551995,1880.8
56.0512651,-120.5910435,1849.4
56.05166947,-120.5910392,1847
56.05153466,-120.5910395,1848.2
56.05139985,-120.5910399,1847.5
56.05541255,-120.5748286,1842.1
56.04495934,-120.5909116,1869.5
56.05376929,-120.5884765,1844.1
56.0450492,-120.5909108,1869.6
56.0451391,-120.5909116,1868.5
56.05512397,-120.6387094,1850.5
56.05512652,-120.6388426,1856.4
56.06106354,-120.6392041,1856.7
55.98886042,-120.7417531,2086.7
56.00959687,-120.7505231,2124.7
56.009781,-120.7501723,2123.4
56.00968893,-120.7503477,2121.8
56.02009617,-120.8139888,2103
56.02031741,-120.8137436,2100.5
56.02026363,-120.8138028,2100.5
56.02015348,-120.8139262,2101.9
56.0096429,-120.7504354,2124.1
56.00955083,-120.7506108,2125.4
56.01011653,-120.7502378,2118.6
56.01002447,-120.7504132,2122.5
56.01030067,-120.749887,2099.7
56.0102086,-120.7500624,2119.2
55.99237935,-120.6823623,2052.9
56.00535797,-120.7099873,2085
55.99172018,-120.680718,2051.8
55.99237634,-120.6822021,2050.8
55.99239137,-120.6830014,2051.1
55.99171717,-120.6805579,2051.7
55.99239438,-120.6831616,2045.2
55.99238836,-120.6828412,2044.6
55.99238535,-120.682681,2046.4
55.99436139,-120.6404539,2059.5
55.99449479,-120.6402389,2064.4
55.99422707,-120.6406674,2061.2
55.99462822,-120.6400255,2059.2
56.00194635,-120.6742284,2061.6
55.99476161,-120.6398105,2058.8
55.99469535,-120.6399172,2059.8
55.99814436,-120.6405008,2058
56.01745438,-120.699557,2065.7
56.01745411,-120.6984354,2070.2
56.01754427,-120.699558,2064.4
56.01754398,-120.6984348,2065.8
56.01763324,-120.6995575,2064.8
56.01763385,-120.6984343,2065
56.01772311,-120.699557,2066.5
56.01772374,-120.6984354,2064.5
55.99911225,-120.638947,2041.5
55.99917941,-120.6388403,2042.4
56.01785792,-120.699557,2065.2
55.99789046,-120.6393984,2047.6
55.99765677,-120.6397735,2043.1
55.99759051,-120.6398802,2042
55.99752338,-120.6399885,2043.7
55.99773182,-120.6400785,2043.2
55.99775707,-120.6396134,2049.8
55.9988123,-120.6394288,2047.5
55.99874513,-120.6395356,2047.6
55.998678,-120.6396439,2047.7
55.99861174,-120.6397506,2047.7
55.99897885,-120.639162,2045.4
