FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC
1190,677,678.000000000000000,55.729343000000000,-120.338899999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.753186888714000,-123.474326880999996,CTB
1191,765,766.000000000000000,55.729852999999999,-120.617902999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.599724486209000,-123.474326880999996,CTB
1192,4624,4625.000000000000000,55.729995000000002,-120.619268000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.599090049222000,-123.474326880999996,CTB
1193,505,506.000000000000000,55.730235000000000,-120.608680000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.605130193184000,-123.474326880999996,CTB
1194,1139,1140.000000000000000,55.730516999999999,-120.557817000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.633419581915000,-123.474326880999996,CTB
1195,1150,1151.000000000000000,55.730772999999999,-120.920562000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.410546097673000,-130.814001826000009,CTB
1196,1151,1152.000000000000000,55.730772999999999,-120.920562000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.410546097673000,-130.814001826000009,CTB
1197,1130,1131.000000000000000,55.730797000000003,-120.663537000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.573540754801000,-128.241186411000001,CTB
1198,4803,4804.000000000000000,55.731116000000000,-120.556742999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.634511606577000,-123.474326880999996,CTB
1199,4706,4707.000000000000000,55.731240999999997,-120.251639999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.802898118386000,-123.470980783000002,CTB
1200,1138,1139.000000000000000,55.731484000000002,-120.094703999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.889653310680000,-123.470980783000002,CTB
1201,892,893.000000000000000,55.731605999999999,-120.255330000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.801167499953000,-123.470980783000002,CTB
1202,5836,5837.000000000000000,55.731951000000002,-120.250715000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.804000526696000,-123.470980783000002,CTB
1203,879,880.000000000000000,55.732382999999999,-120.665676000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.573462434932000,-128.241186411000001,CTB
1204,1067,1068.000000000000000,55.732551999999998,-120.603461999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.609940936667000,-123.474326880999996,CTB
1205,880,881.000000000000000,55.733141000000003,-120.980089000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.373431104580000,-130.814001826000009,CTB
1206,4798,4799.000000000000000,55.733803999999999,-120.658469999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.579038826048000,-128.241186411000001,CTB
1207,1266,1267.000000000000000,55.734582000000003,-120.094626000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.892280572794000,-123.470980783000002,CTB
1208,4545,4546.000000000000000,55.734884000000001,-120.623227000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.600984486673000,-123.474326880999996,CTB
1209,1268,1269.000000000000000,55.735053999999998,-120.555304000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.638590122093000,-123.474326880999996,CTB
1210,1541,1542.000000000000000,55.735469000000002,-120.595157999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.616954284269000,-123.474326880999996,CTB
