FID,FID_BCHFWe,Well_ID,LATITUDE,LONGITUDE,FID_Unconv,NAME,SHAPEAREA,OBJECTID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,NEAR_FC,RASTERVALU
0,4348,4349.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.243035669988000,-119.274028281000000,CTB,3322.8898926
1,4349,4350.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.243035669988000,-119.274028281000000,CTB,3322.8898926
2,4350,4351.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.243035669988000,-119.274028281000000,CTB,3322.8898926
3,4351,4352.000000000000000,54.998463000000001,-120.118317000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.243035669988000,-119.274028281000000,CTB,3322.8898926
4,2615,2616.000000000000000,55.033563999999998,-120.026317000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.318636242493000,-119.248964684000001,CTB,3022.4299316
5,4192,4193.000000000000000,55.063518999999999,-120.202057999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.258835165629000,-119.274028281000000,CTB,3832.8701172
6,3064,3065.000000000000000,55.090840000000000,-120.061385000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.351454310718000,-119.274028281000000,CTB,3525.8000488
7,1876,1877.000000000000000,55.095047000000001,-120.091346999999999,0,Montney Basin,26607264166.200000762939453,4,0,0.340473007548000,-119.274028281000000,CTB,3586.1101074
8,2527,2528.000000000000000,55.103242000000002,-120.059843000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.363026482005000,-119.274028281000000,CTB,3525.8000488
9,3174,3175.000000000000000,55.107967000000002,-120.049786999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.372065311328000,-119.274028281000000,CTB,3557.0700684
10,2588,2589.000000000000000,55.108615999999998,-120.072040000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.361749998273000,-119.274028281000000,CTB,3570.6101074
11,1976,1977.000000000000000,55.111761999999999,-120.190917999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.306364417401000,-119.274028281000000,CTB,3784.4699707
12,5415,5416.000000000000000,55.112473999999999,-120.062742999999998,0,Montney Basin,26607264166.200000762939453,4,0,0.369661410076000,-119.274028281000000,CTB,3557.0700684
13,3286,3287.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.218858235625000,-119.274028281000000,CTB,3718.1101074
14,3287,3288.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.218858235625000,-119.274028281000000,CTB,3718.1101074
15,3288,3289.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.218858235625000,-119.274028281000000,CTB,3718.1101074
16,3289,3290.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.218858235625000,-119.274028281000000,CTB,3718.1101074
17,3290,3291.000000000000000,55.113025000000000,-120.372124999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.218858235625000,-119.274028281000000,CTB,3718.1101074
18,3253,3254.000000000000000,55.113478999999998,-120.063570999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.370133181229000,-119.274028281000000,CTB,3570.6101074
19,2652,2653.000000000000000,55.118482000000000,-120.087483000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.362804593660000,-119.274028281000000,CTB,3617.2299805
20,5278,5279.000000000000000,55.118763000000001,-120.212030999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.302147342174000,-119.274028281000000,CTB,3738.1699219
21,2637,2638.000000000000000,55.120567000000001,-120.184361999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.317250739221000,-119.274028281000000,CTB,3738.1201172
22,2651,2652.000000000000000,55.120677000000001,-120.207960999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.305807084673000,-119.274028281000000,CTB,3741.6999512
23,3318,3319.000000000000000,55.120896000000002,-120.172990999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.323097995273000,-119.274028281000000,CTB,3738.1201172
24,3320,3321.000000000000000,55.122585999999998,-120.050180999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.384624672773000,-119.274028281000000,CTB,3579.1000977
25,3330,3331.000000000000000,55.123218000000001,-120.064122999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.378358502555000,-119.274028281000000,CTB,3588.9599609
26,3997,3998.000000000000000,55.123274000000002,-120.079437999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.370918513424000,-119.274028281000000,CTB,3617.2299805
27,5297,5298.000000000000000,55.125010000000003,-120.070809999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.376651791322000,-119.274028281000000,CTB,3588.9599609
28,2089,2090.000000000000000,55.125560000000000,-120.164829999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.331156984290000,-119.274028281000000,CTB,3729.6999512
29,2090,2091.000000000000000,55.125560000000000,-120.164829999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.331156984290000,-119.274028281000000,CTB,3729.6999512
30,2739,2740.000000000000000,55.126531000000000,-120.100773000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.363326627681000,-119.274028281000000,CTB,3632.3601074
31,2720,2721.000000000000000,55.126635999999998,-120.074044000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.376488752234000,-119.274028281000000,CTB,3588.9599609
32,3397,3398.000000000000000,55.130527000000001,-120.063868999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.384858280314000,-119.274028281000000,CTB,3588.9599609
33,3372,3373.000000000000000,55.130783999999998,-120.135889000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.349865608203000,-119.274028281000000,CTB,3699.0000000
34,4073,4074.000000000000000,55.131498000000001,-120.091795000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.372049821151000,-119.274028281000000,CTB,3622.6101074
35,3402,3403.000000000000000,55.133060999999998,-120.445901000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.196779371422000,-123.470980783000002,CTB,3712.7600098
36,3403,3404.000000000000000,55.133060999999998,-120.445901000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.196779371422000,-123.470980783000002,CTB,3712.7600098
37,2769,2770.000000000000000,55.133623999999998,-120.038839999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.399798623703000,-119.274028281000000,CTB,3573.2099609
38,2164,2165.000000000000000,55.135705000000002,-120.089287999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.376945440114000,-119.274028281000000,CTB,3606.7600098
39,4104,4105.000000000000000,55.138058000000001,-120.028661999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.408643272766000,-119.274028281000000,CTB,3549.1899414
40,3460,3461.000000000000000,55.140408000000001,-120.188744000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.332415123800000,-119.274028281000000,CTB,3731.1799316
41,4135,4136.000000000000000,55.140787000000003,-120.094342999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.378907001653000,-119.274028281000000,CTB,3622.6101074
42,3438,3439.000000000000000,55.141094000000002,-120.136188000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.358712721435000,-119.274028281000000,CTB,3686.8400879
43,2871,2872.000000000000000,55.141624999999998,-120.085391000000001,0,Montney Basin,26607264166.200000762939453,4,0,0.384014985655000,-119.274028281000000,CTB,3606.7600098
44,2888,2889.000000000000000,55.142195000000001,-120.359634999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.250410413434000,-119.274028281000000,CTB,3731.0500488
45,2889,2890.000000000000000,55.142195000000001,-120.359634999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.250410413434000,-119.274028281000000,CTB,3731.0500488
46,2232,2233.000000000000000,55.143884999999997,-120.089765000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.383847533778000,-119.274028281000000,CTB,3606.7600098
47,2233,2234.000000000000000,55.143884999999997,-120.089765000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.383847533778000,-119.274028281000000,CTB,3606.7600098
48,2208,2209.000000000000000,55.145232999999998,-120.180763999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.340526045005000,-119.274028281000000,CTB,3706.4599609
49,2858,2859.000000000000000,55.145677999999997,-120.071952999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.394121389785000,-119.274028281000000,CTB,3601.7900391
50,3515,3516.000000000000000,55.146104999999999,-120.072552999999999,0,Montney Basin,26607264166.200000762939453,4,0,0.394200465790000,-119.274028281000000,CTB,3601.7900391
51,3544,3545.000000000000000,55.146642999999997,-120.249669999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.308061830263000,-119.274028281000000,CTB,3731.2700195
52,4172,4173.000000000000000,55.146698000000001,-120.265083000000004,0,Montney Basin,26607264166.200000762939453,4,0,0.300573048105000,-119.274028281000000,CTB,3759.1201172
53,4189,4190.000000000000000,55.146839999999997,-120.192916999999994,0,Montney Basin,26607264166.200000762939453,4,0,0.335985156448000,-119.274028281000000,CTB,3723.7399902
54,3506,3507.000000000000000,55.149045000000001,-120.058553000000003,0,Montney Basin,26607264166.200000762939453,4,0,0.403610820769000,-119.274028281000000,CTB,3604.9499512
55,4193,4194.000000000000000,55.149510999999997,-120.078275000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.394373504807000,-119.274028281000000,CTB,3605.3500977
56,4194,4195.000000000000000,55.149510999999997,-120.078275000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.394373504807000,-119.274028281000000,CTB,3605.3500977
57,2277,2278.000000000000000,55.152982000000002,-120.068140000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.402357111176000,-119.274028281000000,CTB,3601.7900391
58,2274,2275.000000000000000,55.153151000000001,-120.054260999999997,0,Montney Basin,26607264166.200000762939453,4,0,0.409291131413000,-119.274028281000000,CTB,3604.9499512
59,2269,2270.000000000000000,55.153283000000002,-120.044811999999993,0,Montney Basin,26607264166.200000762939453,4,0,0.414026761828000,-119.274028281000000,CTB,3576.4699707
60,2932,2933.000000000000000,55.153933000000002,-120.096919000000000,0,Montney Basin,26607264166.200000762939453,4,0,0.389114100198000,-119.274028281000000,CTB,3620.1000977
61,2900,2901.000000000000000,55.154072999999997,-120.133722000000006,0,Montney Basin,26607264166.200000762939453,4,0,0.371240028719000,-119.274028281000000,CTB,3681.5000000
62,4245,4246.000000000000000,55.154164000000002,-120.044056999999995,0,Montney Basin,26607264166.200000762939453,4,0,0.415164435473000,-119.274028281000000,CTB,3576.4699707
63,5656,5657.000000000000000,55.154234000000002,-120.229526000000007,0,Montney Basin,26607264166.200000762939453,4,0,0.324533547497000,-119.274028281000000,CTB,3721.2900391
64,3593,3594.000000000000000,55.154542999999997,-120.073350000000005,0,Montney Basin,26607264166.200000762939453,4,0,0.401171134664000,-119.274028281000000,CTB,3601.7900391
65,3622,3623.000000000000000,55.156005999999998,-120.111762999999996,0,Montney Basin,26607264166.200000762939453,4,0,0.383663834970000,-119.274028281000000,CTB,3641.0100098
