X,Y
-120.0172143,54.943572
-120.06213,54.95646936
-120.0396721,54.95646936
-120.0172143,54.95646936
-120.1070458,54.96936257
-120.0845879,54.96936257
-120.06213,54.96936257
-120.0396721,54.96936257
-120.0172143,54.96936257
-120.1744194,54.98225165
-120.1519615,54.98225165
-120.1295037,54.98225165
-120.1070458,54.98225165
-120.0845879,54.98225165
-120.06213,54.98225165
-120.0396721,54.98225165
-120.0172143,54.98225165
-120.2193352,54.99513659
-120.1968773,54.99513659
-120.1744194,54.99513659
-120.1519615,54.99513659
-120.1295037,54.99513659
-120.1070458,54.99513659
-120.0845879,54.99513659
-120.06213,54.99513659
-120.0396721,54.99513659
-120.0172143,54.99513659
-120.2867088,55.0080174
-120.264251,55.0080174
-120.2417931,55.0080174
-120.2193352,55.0080174
-120.1968773,55.0080174
-120.1744194,55.0080174
-120.1519615,55.0080174
-120.1295037,55.0080174
-120.1070458,55.0080174
-120.0845879,55.0080174
-120.06213,55.0080174
-120.0396721,55.0080174
-120.0172143,55.0080174
-120.3316246,55.02089407
-120.3091667,55.02089407
-120.2867088,55.02089407
-120.264251,55.02089407
-120.2417931,55.02089407
-120.2193352,55.02089407
-120.1968773,55.02089407
-120.1744194,55.02089407
-120.1519615,55.02089407
-120.1295037,55.02089407
-120.1070458,55.02089407
-120.0845879,55.02089407
-120.06213,55.02089407
-120.0396721,55.02089407
-120.0172143,55.02089407
-120.3765404,55.0337666
-120.3540825,55.0337666
-120.3316246,55.0337666
-120.3091667,55.0337666
-120.2867088,55.0337666
-120.264251,55.0337666
-120.2417931,55.0337666
-120.2193352,55.0337666
-120.1968773,55.0337666
-120.1744194,55.0337666
-120.1519615,55.0337666
-120.1295037,55.0337666
-120.1070458,55.0337666
-120.0845879,55.0337666
-120.06213,55.0337666
-120.0396721,55.0337666
-120.0172143,55.0337666
-120.4214561,55.046635
-120.3989983,55.046635
-120.3765404,55.046635
-120.3540825,55.046635
-120.3316246,55.046635
-120.3091667,55.046635
-120.2867088,55.046635
-120.264251,55.046635
-120.2417931,55.046635
-120.2193352,55.046635
-120.1968773,55.046635
-120.1744194,55.046635
-120.1519615,55.046635
-120.1295037,55.046635
-120.1070458,55.046635
-120.0845879,55.046635
-120.06213,55.046635
-120.0396721,55.046635
-120.0172143,55.046635
-120.4663719,55.05949927
-120.443914,55.05949927
-120.4214561,55.05949927
-120.3989983,55.05949927
-120.3765404,55.05949927
-120.3540825,55.05949927
-120.3316246,55.05949927
-120.3091667,55.05949927
-120.2867088,55.05949927
-120.264251,55.05949927
-120.2417931,55.05949927
-120.2193352,55.05949927
-120.1968773,55.05949927
-120.1744194,55.05949927
-120.1519615,55.05949927
-120.1295037,55.05949927
-120.1070458,55.05949927
-120.0845879,55.05949927
-120.06213,55.05949927
-120.0396721,55.05949927
-120.0172143,55.05949927
-120.4888298,55.07235941
-120.4663719,55.07235941
-120.443914,55.07235941
-120.4214561,55.07235941
-120.3989983,55.07235941
-120.3765404,55.07235941
-120.3540825,55.07235941
-120.3316246,55.07235941
-120.3091667,55.07235941
-120.2867088,55.07235941
-120.264251,55.07235941
-120.2417931,55.07235941
-120.2193352,55.07235941
-120.1968773,55.07235941
-120.1744194,55.07235941
-120.1519615,55.07235941
-120.1295037,55.07235941
-120.1070458,55.07235941
-120.0845879,55.07235941
-120.06213,55.07235941
-120.0396721,55.07235941
-120.0172143,55.07235941
-120.5337455,55.08521541
-120.5112877,55.08521541
-120.4888298,55.08521541
-120.4663719,55.08521541
-120.443914,55.08521541
-120.4214561,55.08521541
-120.3989983,55.08521541
-120.3765404,55.08521541
-120.3540825,55.08521541
-120.3316246,55.08521541
-120.3091667,55.08521541
-120.2867088,55.08521541
-120.264251,55.08521541
-120.2417931,55.08521541
-120.2193352,55.08521541
-120.1968773,55.08521541
-120.1744194,55.08521541
-120.1519615,55.08521541
-120.1295037,55.08521541
-120.1070458,55.08521541
-120.0845879,55.08521541
-120.06213,55.08521541
-120.0396721,55.08521541
-120.0172143,55.08521541
-120.5562034,55.09806728
-120.5337455,55.09806728
-120.5112877,55.09806728
-120.4888298,55.09806728
-120.4663719,55.09806728
-120.443914,55.09806728
-120.4214561,55.09806728
-120.3989983,55.09806728
-120.3765404,55.09806728
-120.3540825,55.09806728
-120.3316246,55.09806728
-120.3091667,55.09806728
-120.2867088,55.09806728
-120.264251,55.09806728
-120.2417931,55.09806728
-120.2193352,55.09806728
-120.1968773,55.09806728
-120.1744194,55.09806728
-120.1519615,55.09806728
-120.1295037,55.09806728
-120.1070458,55.09806728
-120.0845879,55.09806728
-120.06213,55.09806728
-120.0396721,55.09806728
-120.0172143,55.09806728
-120.5786613,55.11091502
-120.5562034,55.11091502
-120.5337455,55.11091502
-120.5112877,55.11091502
-120.4888298,55.11091502
-120.4663719,55.11091502
-120.443914,55.11091502
-120.4214561,55.11091502
-120.3989983,55.11091502
-120.3765404,55.11091502
-120.3540825,55.11091502
-120.3316246,55.11091502
-120.3091667,55.11091502
-120.2867088,55.11091502
-120.264251,55.11091502
-120.2417931,55.11091502
-120.2193352,55.11091502
-120.1968773,55.11091502
-120.1744194,55.11091502
-120.1519615,55.11091502
-120.1295037,55.11091502
-120.1070458,55.11091502
-120.0845879,55.11091502
-120.06213,55.11091502
-120.0396721,55.11091502
-120.0172143,55.11091502
-120.6011192,55.12375863
-120.5786613,55.12375863
-120.5562034,55.12375863
-120.5337455,55.12375863
-120.5112877,55.12375863
-120.4888298,55.12375863
-120.4663719,55.12375863
-120.443914,55.12375863
-120.4214561,55.12375863
-120.3989983,55.12375863
-120.3765404,55.12375863
-120.3540825,55.12375863
-120.3316246,55.12375863
-120.3091667,55.12375863
-120.2867088,55.12375863
-120.264251,55.12375863
-120.2417931,55.12375863
-120.2193352,55.12375863
-120.1968773,55.12375863
-120.1744194,55.12375863
-120.1519615,55.12375863
-120.1295037,55.12375863
-120.1070458,55.12375863
-120.0845879,55.12375863
-120.06213,55.12375863
-120.0396721,55.12375863
-120.0172143,55.12375863
-120.646035,55.13659811
-120.6235771,55.13659811
-120.6011192,55.13659811
-120.5786613,55.13659811
-120.5562034,55.13659811
-120.5337455,55.13659811
-120.5112877,55.13659811
-120.4888298,55.13659811
-120.4663719,55.13659811
-120.443914,55.13659811
-120.4214561,55.13659811
-120.3989983,55.13659811
-120.3765404,55.13659811
-120.3540825,55.13659811
-120.3316246,55.13659811
-120.3091667,55.13659811
-120.2867088,55.13659811
-120.264251,55.13659811
-120.2417931,55.13659811
-120.2193352,55.13659811
-120.1968773,55.13659811
-120.1744194,55.13659811
-120.1519615,55.13659811
-120.1295037,55.13659811
-120.1070458,55.13659811
-120.0845879,55.13659811
-120.06213,55.13659811
-120.0396721,55.13659811
-120.0172143,55.13659811
-120.6684928,55.14943347
-120.646035,55.14943347
-120.6235771,55.14943347
-120.6011192,55.14943347
-120.5786613,55.14943347
-120.5562034,55.14943347
-120.5337455,55.14943347
-120.5112877,55.14943347
-120.4888298,55.14943347
-120.4663719,55.14943347
-120.443914,55.14943347
-120.4214561,55.14943347
-120.3989983,55.14943347
-120.3765404,55.14943347
-120.3540825,55.14943347
-120.3316246,55.14943347
-120.3091667,55.14943347
-120.2867088,55.14943347
-120.264251,55.14943347
-120.2417931,55.14943347
-120.2193352,55.14943347
-120.1968773,55.14943347
-120.1744194,55.14943347
-120.1519615,55.14943347
-120.1295037,55.14943347
-120.1070458,55.14943347
-120.0845879,55.14943347
-120.06213,55.14943347
-120.0396721,55.14943347
-120.0172143,55.14943347
-120.6909507,55.16226469
-120.6684928,55.16226469
-120.646035,55.16226469
-120.6235771,55.16226469
-120.6011192,55.16226469
-120.5786613,55.16226469
-120.5562034,55.16226469
-120.5337455,55.16226469
-120.5112877,55.16226469
-120.4888298,55.16226469
-120.4663719,55.16226469
-120.443914,55.16226469
-120.4214561,55.16226469
-120.3989983,55.16226469
-120.3765404,55.16226469
-120.3540825,55.16226469
-120.3316246,55.16226469
-120.3091667,55.16226469
-120.2867088,55.16226469
-120.264251,55.16226469
-120.2417931,55.16226469
-120.2193352,55.16226469
-120.1968773,55.16226469
-120.1744194,55.16226469
-120.1519615,55.16226469
-120.1295037,55.16226469
-120.1070458,55.16226469
-120.0845879,55.16226469
-120.06213,55.16226469
-120.0396721,55.16226469
-120.0172143,55.16226469
-120.7134086,55.17509179
-120.6909507,55.17509179
-120.6684928,55.17509179
-120.646035,55.17509179
-120.6235771,55.17509179
-120.6011192,55.17509179
-120.5786613,55.17509179
-120.5562034,55.17509179
-120.5337455,55.17509179
-120.5112877,55.17509179
-120.4888298,55.17509179
-120.4663719,55.17509179
-120.443914,55.17509179
-120.4214561,55.17509179
-120.3989983,55.17509179
-120.3765404,55.17509179
-120.3540825,55.17509179
-120.3316246,55.17509179
-120.3091667,55.17509179
-120.2867088,55.17509179
-120.264251,55.17509179
-120.2417931,55.17509179
-120.2193352,55.17509179
-120.1968773,55.17509179
-120.1744194,55.17509179
-120.1519615,55.17509179
-120.1295037,55.17509179
-120.1070458,55.17509179
-120.0845879,55.17509179
-120.06213,55.17509179
-120.0396721,55.17509179
-120.0172143,55.17509179
-120.7358665,55.18791476
-120.7134086,55.18791476
-120.6909507,55.18791476
-120.6684928,55.18791476
-120.646035,55.18791476
-120.6235771,55.18791476
-120.6011192,55.18791476
-120.5786613,55.18791476
-120.5562034,55.18791476
-120.5337455,55.18791476
-120.5112877,55.18791476
-120.4888298,55.18791476
-120.4663719,55.18791476
-120.443914,55.18791476
-120.4214561,55.18791476
-120.3989983,55.18791476
-120.3765404,55.18791476
-120.3540825,55.18791476
-120.3316246,55.18791476
-120.3091667,55.18791476
-120.2867088,55.18791476
-120.264251,55.18791476
-120.2417931,55.18791476
-120.2193352,55.18791476
-120.1968773,55.18791476
-120.1744194,55.18791476
-120.1519615,55.18791476
-120.1295037,55.18791476
-120.1070458,55.18791476
-120.0845879,55.18791476
-120.06213,55.18791476
-120.0396721,55.18791476
-120.0172143,55.18791476
-120.7583244,55.2007336
-120.7358665,55.2007336
-120.7134086,55.2007336
-120.6909507,55.2007336
-120.6684928,55.2007336
-120.646035,55.2007336
-120.6235771,55.2007336
-120.6011192,55.2007336
-120.5786613,55.2007336
-120.5562034,55.2007336
-120.5337455,55.2007336
-120.5112877,55.2007336
-120.4888298,55.2007336
-120.4663719,55.2007336
-120.443914,55.2007336
-120.4214561,55.2007336
-120.3989983,55.2007336
-120.3765404,55.2007336
-120.3540825,55.2007336
-120.3316246,55.2007336
-120.3091667,55.2007336
-120.2867088,55.2007336
-120.264251,55.2007336
-120.2417931,55.2007336
-120.2193352,55.2007336
-120.1968773,55.2007336
-120.1744194,55.2007336
-120.1519615,55.2007336
-120.1295037,55.2007336
-120.1070458,55.2007336
-120.0845879,55.2007336
-120.06213,55.2007336
-120.0396721,55.2007336
-120.0172143,55.2007336
-120.7807822,55.21354832
-120.7583244,55.21354832
-120.7358665,55.21354832
-120.7134086,55.21354832
-120.6909507,55.21354832
-120.6684928,55.21354832
-120.646035,55.21354832
-120.6235771,55.21354832
-120.6011192,55.21354832
-120.5786613,55.21354832
-120.5562034,55.21354832
-120.5337455,55.21354832
-120.5112877,55.21354832
-120.4888298,55.21354832
-120.4663719,55.21354832
-120.443914,55.21354832
-120.4214561,55.21354832
-120.3989983,55.21354832
-120.3765404,55.21354832
-120.3540825,55.21354832
-120.3316246,55.21354832
-120.3091667,55.21354832
-120.2867088,55.21354832
-120.264251,55.21354832
-120.2417931,55.21354832
-120.2193352,55.21354832
-120.1968773,55.21354832
-120.1744194,55.21354832
-120.1519615,55.21354832
-120.1295037,55.21354832
-120.1070458,55.21354832
-120.0845879,55.21354832
-120.06213,55.21354832
-120.0396721,55.21354832
-120.0172143,55.21354832
-120.825698,55.22635892
-120.8032401,55.22635892
-120.7807822,55.22635892
-120.7583244,55.22635892
-120.7358665,55.22635892
-120.7134086,55.22635892
-120.6909507,55.22635892
-120.6684928,55.22635892
-120.646035,55.22635892
-120.6235771,55.22635892
-120.6011192,55.22635892
-120.5786613,55.22635892
-120.5562034,55.22635892
-120.5337455,55.22635892
-120.5112877,55.22635892
-120.4888298,55.22635892
-120.4663719,55.22635892
-120.443914,55.22635892
-120.4214561,55.22635892
-120.3989983,55.22635892
-120.3765404,55.22635892
-120.3540825,55.22635892
-120.3316246,55.22635892
-120.3091667,55.22635892
-120.2867088,55.22635892
-120.264251,55.22635892
-120.2417931,55.22635892
-120.2193352,55.22635892
-120.1968773,55.22635892
-120.1744194,55.22635892
-120.1519615,55.22635892
-120.1295037,55.22635892
-120.1070458,55.22635892
-120.0845879,55.22635892
-120.06213,55.22635892
-120.0396721,55.22635892
-120.0172143,55.22635892
-120.8481559,55.23916539
-120.825698,55.23916539
-120.8032401,55.23916539
-120.7807822,55.23916539
-120.7583244,55.23916539
-120.7358665,55.23916539
-120.7134086,55.23916539
-120.6909507,55.23916539
-120.6684928,55.23916539
-120.646035,55.23916539
-120.6235771,55.23916539
-120.6011192,55.23916539
-120.5786613,55.23916539
-120.5562034,55.23916539
-120.5337455,55.23916539
-120.5112877,55.23916539
-120.4888298,55.23916539
-120.4663719,55.23916539
-120.443914,55.23916539
-120.4214561,55.23916539
-120.3989983,55.23916539
-120.3765404,55.23916539
-120.3540825,55.23916539
-120.3316246,55.23916539
-120.3091667,55.23916539
-120.2867088,55.23916539
-120.264251,55.23916539
-120.2417931,55.23916539
-120.2193352,55.23916539
-120.1968773,55.23916539
-120.1744194,55.23916539
-120.1519615,55.23916539
-120.1295037,55.23916539
-120.1070458,55.23916539
-120.0845879,55.23916539
-120.06213,55.23916539
-120.0396721,55.23916539
-120.0172143,55.23916539
-120.8706138,55.25196774
-120.8481559,55.25196774
-120.825698,55.25196774
-120.8032401,55.25196774
-120.7807822,55.25196774
-120.7583244,55.25196774
-120.7358665,55.25196774
-120.7134086,55.25196774
-120.6909507,55.25196774
-120.6684928,55.25196774
-120.646035,55.25196774
-120.6235771,55.25196774
-120.6011192,55.25196774
-120.5786613,55.25196774
-120.5562034,55.25196774
-120.5337455,55.25196774
-120.5112877,55.25196774
-120.4888298,55.25196774
-120.4663719,55.25196774
-120.443914,55.25196774
-120.4214561,55.25196774
-120.3989983,55.25196774
-120.3765404,55.25196774
-120.3540825,55.25196774
-120.3316246,55.25196774
-120.3091667,55.25196774
-120.2867088,55.25196774
-120.264251,55.25196774
-120.2417931,55.25196774
-120.2193352,55.25196774
-120.1968773,55.25196774
-120.1744194,55.25196774
-120.1519615,55.25196774
-120.1295037,55.25196774
-120.1070458,55.25196774
-120.0845879,55.25196774
-120.06213,55.25196774
-120.0396721,55.25196774
-120.0172143,55.25196774
-120.8930717,55.26476596
-120.8706138,55.26476596
-120.8481559,55.26476596
-120.825698,55.26476596
-120.8032401,55.26476596
-120.7807822,55.26476596
-120.7583244,55.26476596
-120.7358665,55.26476596
-120.7134086,55.26476596
-120.6909507,55.26476596
-120.6684928,55.26476596
-120.646035,55.26476596
-120.6235771,55.26476596
-120.6011192,55.26476596
-120.5786613,55.26476596
-120.5562034,55.26476596
-120.5337455,55.26476596
-120.5112877,55.26476596
-120.4888298,55.26476596
-120.4663719,55.26476596
-120.443914,55.26476596
-120.4214561,55.26476596
-120.3989983,55.26476596
-120.3765404,55.26476596
-120.3540825,55.26476596
-120.3316246,55.26476596
-120.3091667,55.26476596
-120.2867088,55.26476596
-120.264251,55.26476596
-120.2417931,55.26476596
-120.2193352,55.26476596
-120.1968773,55.26476596
-120.1744194,55.26476596
-120.1519615,55.26476596
-120.1295037,55.26476596
-120.1070458,55.26476596
-120.0845879,55.26476596
-120.06213,55.26476596
-120.0396721,55.26476596
-120.0172143,55.26476596
-120.9155295,55.27756006
-120.8930717,55.27756006
-120.8706138,55.27756006
-120.8481559,55.27756006
-120.825698,55.27756006
-120.8032401,55.27756006
-120.7807822,55.27756006
-120.7583244,55.27756006
-120.7358665,55.27756006
-120.7134086,55.27756006
-120.6909507,55.27756006
-120.6684928,55.27756006
-120.646035,55.27756006
-120.6235771,55.27756006
-120.6011192,55.27756006
-120.5786613,55.27756006
-120.5562034,55.27756006
-120.5337455,55.27756006
-120.5112877,55.27756006
-120.4888298,55.27756006
-120.4663719,55.27756006
-120.443914,55.27756006
-120.4214561,55.27756006
-120.3989983,55.27756006
-120.3765404,55.27756006
-120.3540825,55.27756006
-120.3316246,55.27756006
-120.3091667,55.27756006
-120.2867088,55.27756006
-120.264251,55.27756006
-120.2417931,55.27756006
-120.2193352,55.27756006
-120.1968773,55.27756006
-120.1744194,55.27756006
-120.1519615,55.27756006
-120.1295037,55.27756006
-120.1070458,55.27756006
-120.0845879,55.27756006
-120.06213,55.27756006
-120.0396721,55.27756006
-120.0172143,55.27756006
-120.9379874,55.29035005
-120.9155295,55.29035005
-120.8930717,55.29035005
-120.8706138,55.29035005
-120.8481559,55.29035005
-120.825698,55.29035005
-120.8032401,55.29035005
-120.7807822,55.29035005
-120.7583244,55.29035005
-120.7358665,55.29035005
-120.7134086,55.29035005
-120.6909507,55.29035005
-120.6684928,55.29035005
-120.646035,55.29035005
-120.6235771,55.29035005
-120.6011192,55.29035005
-120.5786613,55.29035005
-120.5562034,55.29035005
-120.5337455,55.29035005
-120.5112877,55.29035005
-120.4888298,55.29035005
-120.4663719,55.29035005
-120.443914,55.29035005
-120.4214561,55.29035005
-120.3989983,55.29035005
-120.3765404,55.29035005
-120.3540825,55.29035005
-120.3316246,55.29035005
-120.3091667,55.29035005
-120.2867088,55.29035005
-120.264251,55.29035005
-120.2417931,55.29035005
-120.2193352,55.29035005
-120.1968773,55.29035005
-120.1744194,55.29035005
-120.1519615,55.29035005
-120.1295037,55.29035005
-120.1070458,55.29035005
-120.0845879,55.29035005
-120.06213,55.29035005
-120.0396721,55.29035005
-120.0172143,55.29035005
-120.9604453,55.30313591
-120.9379874,55.30313591
-120.9155295,55.30313591
-120.8930717,55.30313591
-120.8706138,55.30313591
-120.8481559,55.30313591
-120.825698,55.30313591
-120.8032401,55.30313591
-120.7807822,55.30313591
-120.7583244,55.30313591
-120.7358665,55.30313591
-120.7134086,55.30313591
-120.6909507,55.30313591
-120.6684928,55.30313591
-120.646035,55.30313591
-120.6235771,55.30313591
-120.6011192,55.30313591
-120.5786613,55.30313591
-120.5562034,55.30313591
-120.5337455,55.30313591
-120.5112877,55.30313591
-120.4888298,55.30313591
-120.4663719,55.30313591
-120.443914,55.30313591
-120.4214561,55.30313591
-120.3989983,55.30313591
-120.3765404,55.30313591
-120.3540825,55.30313591
-120.3316246,55.30313591
-120.3091667,55.30313591
-120.2867088,55.30313591
-120.264251,55.30313591
-120.2417931,55.30313591
-120.2193352,55.30313591
-120.1968773,55.30313591
-120.1744194,55.30313591
-120.1519615,55.30313591
-120.1295037,55.30313591
-120.1070458,55.30313591
-120.0845879,55.30313591
-120.06213,55.30313591
-120.0396721,55.30313591
-120.0172143,55.30313591
-120.9829032,55.31591765
-120.9604453,55.31591765
-120.9379874,55.31591765
-120.9155295,55.31591765
-120.8930717,55.31591765
